시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
대전 대전서부3,대전광역시 서구 가장동(광시한우 부근),4,4,0,4,0,0,127.3897756,36.33562649
대전 대전서부4,대전광역시 서구 변동(번동사거리 부근),4,4,0,2,2,0,127.3785063,36.32423276
대전 대전대덕1,대전광역시 대덕구 와동(한국기기유화시험연구원(재)대전지원 부근),4,4,0,4,0,0,127.4232203,36.39837271
울산 울산중부1,울산광역시 중구 태화동(세원마트앞 부근),4,4,0,2,2,0,129.3091025,35.55406406
울산 울산남부1,울산광역시 남구 달동(ubc사거리 부근),15,17,0,10,6,1,129.3337804,35.53865789
울산 울산남부2,울산광역시 남구 신정동(동의대학교 울산한방병원 부근),6,6,0,4,2,0,129.3099838,35.54566674
울산 울산남부3,울산광역시 남구 야음동(남부신협 부근),4,4,0,4,0,0,129.331541,35.5244711
울산 울산동부1,울산광역시 동구 화정동(울산과학대앞 부근),4,4,0,4,0,0,129.4181764,35.49799854
울산 울산울주1,울산광역시 울주군 온산읍(서울의원 부근),5,5,0,3,1,1,129.3103089,35.43366525
서울특별시 종로구1,서울특별시 종로구 창신동(아람보습학원 부근),11,11,1,6,3,1,127.017048,37.5736581
서울특별시 종로구2,서울특별시 종로구 창신동(창신쌍용아파트 부근),5,6,0,2,3,1,127.0153257,37.57787117
서울특별시 중구1,서울특별시 중구 방산동(종로5가 부근),15,15,0,11,2,2,127.0006618,37.57108611
서울특별시 중구2,서울특별시 중구 신당동(신당역 부근),10,11,0,7,3,1,127.0171023,37.56538213
서울특별시 중구3,서울특별시 중구 소공동(소공로지하상가 부근),8,8,2,4,2,0,126.9796049,37.56391754
서울특별시 광진구1,서울특별시 광진구 화양동(건대입구역 부근),5,6,0,3,2,1,127.0710027,37.54051781
서울특별시 광진구2,서울특별시 광진구 능동(군자역 부근),4,5,0,5,0,0,127.0799211,37.55684034
서울특별시 성북구1,서울특별시 성북구 장위동(돌곶이역 부근),10,10,1,6,3,0,127.0562029,37.61157011
서울특별시 성북구2,서울특별시 성북구 장위동(한전빌라 부근),5,5,1,4,0,0,127.0590847,37.61474829
서울특별시 강북구1,서울특별시 강북구 수유동(강북구-도봉구경계(4) 부근),6,6,1,5,0,0,127.0307737,37.64271303
서울특별시 도봉구1,서울특별시 도봉구 창동(서영실업 부근),9,10,0,9,1,0,127.0369079,37.65220514
서울특별시 노원구1,서울특별시 노원구 하계동(중계근린공원 부근),10,10,0,8,1,1,127.0664152,37.64011196
서울특별시 노원구2,서울특별시 노원구 하계동(중계1공단 부근),4,5,0,1,3,1,127.0707132,37.64556013
서울특별시 은평구1,서울특별시 은평구 신사동(증산손칼국수 부근),5,5,2,2,1,0,126.9127727,37.58836386
서울특별시 은평구2,서울특별시 은평구 대조동(동명여고 부근),4,4,1,3,0,0,126.9269276,37.61403349
서울특별시 서대문구1,서울특별시 서대문구 냉천동(서대문아트홀_의주로_진출_2 부근),7,7,2,1,3,1,126.9659779,37.56633274
서울특별시 서대문구2,서울특별시 서대문구 북가좌동(북가좌사거리 부근),4,4,0,2,2,0,126.9131375,37.58260681
서울특별시 마포구1,서울특별시 마포구 대흥동(21세기토탈웨딩 부근),8,9,1,5,3,0,126.9487376,37.55672907
서울특별시 마포구2,서울특별시 마포구 공덕동(국민서관앞삼거리 부근),6,6,2,2,2,0,126.949864,37.54432455
서울특별시 양천구1,서울특별시 양천구 신월동(신월사거리 부근),8,9,0,5,4,0,126.8280149,37.53605149
서울특별시 양천구2,서울특별시 양천구 목동(목동사거리 부근),6,6,0,3,2,1,126.8637387,37.53318472
서울특별시 강서구1,서울특별시 강서구 공항동(신한은행앞 부근),6,7,2,2,3,0,126.8096679,37.56152521
서울특별시 강서구2,서울특별시 강서구 염창동(국일빌딩앞 부근),4,4,1,1,2,0,126.8729912,37.5471606
서울특별시 구로구1,서울특별시 구로구 가리봉동(만민중앙교회 부근),22,25,1,15,6,3,126.8915468,37.48061508
서울특별시 구로구2,서울특별시 구로구 구로동(미래초교_거리공원길_진입 부근),5,5,1,2,2,0,126.8884238,37.50347144
서울특별시 금천구1,서울특별시 금천구 독산동(구로전화국_남부순환로_진출 부근),15,18,0,15,2,1,126.9046414,37.48010019
서울특별시 금천구2,서울특별시 금천구 독산동(시흥4동사거리 부근),9,12,0,6,5,1,126.9028883,37.46446179
서울특별시 금천구3,서울특별시 금천구 시흥동(박미삼거리 부근),6,7,0,4,3,0,126.9024872,37.44873366
서울특별시 금천구4,서울특별시 금천구 독산동(금천구청입구 부근),5,5,1,2,2,0,126.8989983,37.45881759
서울특별시 영등포구1,서울특별시 영등포구 영등포동(영등포역 부근),14,14,1,12,1,0,126.9070119,37.51645472
서울특별시 동작구1,서울특별시 동작구 상도동(교보증권 부근),9,9,0,7,1,1,126.9372955,37.50369854
서울특별시 동작구2,서울특별시 동작구 대방동(신대방삼거리역 부근),7,9,0,4,5,0,126.9282208,37.49974003
서울특별시 관악구1,서울특별시 관악구 봉천동(서울대입구역_관악로_진입_2 부근),14,14,1,8,4,1,126.9523184,37.48070717
서울특별시 관악구2,서울특별시 관악구 신림동(난곡우체국앞 부근),6,6,0,3,3,0,126.9157308,37.47761405
서울특별시 서초구1,서울특별시 서초구 서초동(양재역_남부순환로_진입_2 부근),6,6,1,2,2,1,127.0326455,37.48446528
서울특별시 서초구2,서울특별시 서초구 방배동(함지박사거리 부근),4,4,0,2,1,1,126.9890353,37.49230312
서울특별시 강남구1,서울특별시 강남구 대치동(은마아파트입구 부근),6,6,1,4,1,0,127.060901,37.49901433
부산광역시 중구1,부산광역시 중구 부평동1가(대청사거리 부근),11,12,0,8,4,0,129.0272221,35.1026688
부산광역시 서구1,부산광역시 서구 아미동2가(토성동역사거리 부근),5,5,0,4,1,0,129.0188932,35.09979892
부산광역시 영도구1,부산광역시 영도구 남항동1가(남항사거리 부근),16,19,1,7,11,0,129.0389215,35.09039629
부산광역시 영도구2,부산광역시 영도구 청학동(남성방앗간 부근),4,4,1,2,1,0,129.0611841,35.09661338
부산광역시 영도구3,부산광역시 영도구 봉래동1가(농협교차로 부근),3,3,1,2,0,0,129.0428824,35.08939658
부산광역시 부산진구1,부산광역시 부산진구 당감동(백양순환로 부근),9,9,0,5,4,0,129.0405572,35.16570989
부산광역시 부산진구2,부산광역시 부산진구 부전동(중앙시장 부근),4,4,0,3,0,1,129.0580734,35.14526835
부산광역시 동래구1,부산광역시 동래구 수안동(동래교차로 부근),9,9,0,8,1,0,129.0835443,35.20217486
부산광역시 동래구2,부산광역시 동래구 안락동(전기판넬온수기 부근),7,7,0,7,0,0,129.1035483,35.19669491
부산광역시 동래구3,부산광역시 동래구 온천동(내성교차로 부근),6,6,0,5,1,0,129.0772686,35.20478717
부산광역시 동래구4,부산광역시 동래구 온천동(동부터미널교차로 부근),6,6,0,4,0,2,129.0790382,35.21202657
부산광역시 동래구5,부산광역시 동래구 명장동(서원태권도학원 부근),5,5,0,3,2,0,129.0990633,35.20185228
부산광역시 동래구6,부산광역시 동래구 사직동(국민은행사직동지점 부근),4,4,0,2,2,0,129.0606187,35.19764509
