시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
경기도 안산시 단원구3,경기도 안산시 단원구 와동(와동초교 부근),2,2,0,0,2,0,126.8305161,37.3363414
경기도 이천시1,경기도 이천시 송정동(송정초교 부근),2,2,0,1,1,0,127.4338941,37.29434608
경기도 광주시1,경기도 광주시 중대동(광남초교 부근),2,2,0,0,2,0,127.2313449,37.39396967
강원도 춘천시1,강원도 춘천시 퇴계동(남부초교 부근),2,2,0,0,2,0,127.7267122,37.85848744
충청북도 청주시 서원구1,충청북도 청주시 서원구 수곡동(수곡초교 부근),2,2,0,1,1,0,127.4717396,36.61869789
충청북도 제천시1,충청북도 제천시 장락동(장락초교 부근),3,3,0,2,1,0,128.2238903,37.1548378
전라북도 군산시1,전라북도 군산시 수송동(군산아리울초교 부근),4,4,0,2,2,0,126.7195609,35.96760498
전라북도 군산시2,전라북도 군산시 나운동(진포초교 부근),2,2,0,0,2,0,126.7046691,35.96573245
전라북도 순창군1,전라북도 순창군 순창읍(순창중앙초교 부근),2,2,0,1,1,0,127.1439923,35.37614
전라남도 고흥군1,전라남도 고흥군 고흥읍(고흥동초교 부근),2,2,0,0,2,0,127.2892064,34.60915947
경상북도 구미시1,경상북도 구미시 임은동(상모초교 부근),1,2,1,0,1,0,128.358484,36.09000358
경상남도 거제시1,경상남도 거제시 장목면(외포초교 부근),1,2,1,1,0,0,128.7170009,34.94288063
서울특별시 강서구1,서울특별시 강서구 마곡동(공항초교 부근),2,2,0,0,2,0,126.8191729,37.5625949
서울특별시 구로구1,서울특별시 구로구 구로동(구일초교 부근),2,2,0,0,1,1,126.872987,37.49325846
서울특별시 강남구1,서울특별시 강남구 자곡동(자곡초교 부근),2,2,0,1,1,0,127.0996315,37.47300457
서울특별시 강남구2,서울특별시 강남구 도곡동(언주초교 부근),2,2,0,1,1,0,127.0378933,37.48670858
서울특별시 강남구3,서울특별시 강남구 대치동(대치초교 부근),2,2,0,0,2,0,127.0605609,37.49021808
서울특별시 강동구1,서울특별시 강동구 암사동(보람나무어린이집 부근),1,1,1,0,0,0,127.1350506,37.55180838
부산광역시 부산진구1,부산광역시 부산진구 양정동(양정초교 부근),2,2,0,0,2,0,129.0709379,35.17436832
부산광역시 동래구1,부산광역시 동래구 온천동(온천초교 부근),2,2,0,0,2,0,129.0735971,35.21302841
대구광역시 남구1,대구광역시 남구 봉덕동(봉덕초교 부근),2,2,0,1,1,0,128.5983933,35.84007116
대구광역시 북구1,대구광역시 북구 동천동(함지초교 부근),3,3,0,1,2,0,128.5586973,35.93484813
인천광역시 부평구1,인천광역시 부평구 산곡동(부곡초교 부근),2,2,0,2,0,0,126.7086145,37.50343033
인천광역시 부평구2,인천광역시 부평구 부평동(부원초교 부근),2,2,0,1,1,0,126.7187629,37.50343479
인천광역시 서구1,인천광역시 서구 연희동(청라초교 부근),2,2,0,1,1,0,126.6550164,37.53800019
광주광역시 남구1,광주광역시 남구 주월동(장산초교 부근),2,2,0,1,1,0,126.8950153,35.13016371
광주광역시 북구1,광주광역시 북구 오치동(오정초교 부근),1,1,1,0,0,0,126.9115601,35.18493682
광주광역시 광산구1,광주광역시 광산구 신창동(신창초교 부근),2,2,0,1,1,0,126.8403309,35.19874473
대전광역시 동구1,대전광역시 동구 용운동(푸른숲어린이집 부근),1,1,1,0,0,0,127.4523658,36.32751787
대전광역시 동구2,대전광역시 동구 가양동(동대전초교 부근),1,1,1,0,0,0,127.4480412,36.35209823
대전광역시 서구1,대전광역시 서구 갈마동(깨비나라어린이집 부근),2,2,0,0,2,0,127.3662678,36.35206625
경기도 성남시 중원구1,경기도 성남시 중원구 은행동(중부초교 부근),1,1,1,0,0,0,127.1650319,37.45073123
경기도 부천시1,경기도 부천시 범박동(범박초교 부근),2,2,0,1,1,0,126.8093411,37.47024351
경기도 안산시 상록구1,경기도 안산시 상록구 본오동(본원초교 부근),3,3,0,1,2,0,126.863,37.29146077
경기도 안산시 단원구1,경기도 안산시 단원구 선부동(석수초교 부근),2,2,0,2,0,0,126.8054721,37.34431841
경기도 안산시 단원구2,경기도 안산시 단원구 와동(덕인초교 부근),2,2,0,0,2,0,126.8231445,37.34028128
경기도 구리시1,경기도 구리시 인창동(동인초교 부근),2,2,0,1,1,0,127.1331152,37.61091579
경기도 시흥시1,경기도 시흥시 정왕동(보람유치원 부근),1,1,1,0,0,0,126.7542186,37.34291283
강원도 동해시1,강원도 동해시 쇄운동(청운초교 부근),2,2,0,0,2,0,129.1045274,37.48566692
충청북도 청주시 서원구1,충청북도 청주시 서원구 분평동(남평초교 부근),2,2,0,1,1,0,127.4887687,36.61167849
충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 복대동(복대초교 부근),2,2,0,1,1,0,127.4480355,36.62839005
충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 봉명동(봉명초교 부근),2,2,0,0,2,0,127.4573466,36.63904045
충청북도 청주시 흥덕구3,충청북도 청주시 흥덕구 옥산면(옥산초교 부근),1,1,1,0,0,0,127.3763211,36.66423186
충청남도 서산시1,충청남도 서산시 고북면(고북초교 부근),1,1,1,0,0,0,126.5320398,36.66768517
전라북도 익산시1,전라북도 익산시 모현동1가(이리모현초교 부근),2,2,0,0,2,0,126.9393479,35.94588009
전라북도 정읍시1,전라북도 정읍시 상동(한솔초교 부근),2,2,0,1,1,0,126.8721365,35.5612433
전라남도 목포시1,전라남도 목포시 연산동(서해초교 부근),4,4,0,1,3,0,126.3811916,34.81086278
전라남도 고흥군1,전라남도 고흥군 고흥읍(고흥동초교 부근),2,2,0,1,1,0,127.2885197,34.6094478
서울특별시 종로구1,서울특별시 종로구 혜화동(서울혜화초교 부근),2,2,0,0,1,1,126.9988045,37.58973968
서울특별시 중랑구1,서울특별시 중랑구 상봉동(서울중화초교 부근),2,2,0,1,1,0,127.0938024,37.60204398
서울특별시 중랑구2,서울특별시 중랑구 망우동(서울면일초교 부근),2,2,0,0,2,0,127.098594,37.59158673
서울특별시 성북구1,서울특별시 성북구 석관동(서울석관초교 부근),2,2,0,1,1,0,127.0590647,37.6103018
서울특별시 강서구1,서울특별시 강서구 마곡동(서울송화초교 부근),2,2,0,1,1,0,126.816924,37.56876684
서울특별시 구로구1,서울특별시 구로구 천왕동(서울천왕초교 부근),2,3,0,0,2,1,126.8384143,37.48198327
서울특별시 동작구1,서울특별시 동작구 상도1동(서울강남초교 부근),1,1,1,0,0,0,126.9526501,37.50629062
서울특별시 서초구1,서울특별시 서초구 서초동(서초초교 부근),2,2,0,2,0,0,127.0227988,37.49996166
부산광역시 서구1,부산광역시 서구 서대신동3가(대신초교 부근),2,2,0,1,1,0,129.0124457,35.11515551
부산광역시 남구1,부산광역시 남구 대연동(연포초교 부근),2,2,0,0,1,1,129.0816051,35.1386104
부산광역시 사하구1,부산광역시 사하구 하단동(하남초교 부근),2,3,0,1,2,0,128.9605156,35.09904536
부산광역시 금정구1,부산광역시 금정구 부곡동(동현초교 부근),3,3,0,0,3,0,129.0928288,35.22279963
부산광역시 강서구1,부산광역시 강서구 지사동(녹산초교 부근),3,4,0,1,3,0,128.8361637,35.15110811
부산광역시 수영구1,부산광역시 수영구 광안동(광안초교 부근),2,2,0,2,0,0,129.1171319,35.15733549
대구광역시 달서구1,대구광역시 달서구 이곡동(대구와룡초교 부근),2,2,0,2,0,0,128.5021229,35.85723496
대구광역시 달서구2,대구광역시 달서구 상인동(대구월서초교 부근),2,2,0,2,0,0,128.5317311,35.82120996
인천광역시 연수구1,인천광역시 연수구 옥련동(인천능허대초교 부근),2,2,0,1,1,0,126.6480475,37.42437302
광주광역시 남구1,광주광역시 남구 월산동(광주농성초교 부근),2,2,0,1,1,0,126.8913834,35.14839936
경기도 안산시 상록구1,경기도 안산시 상록구 본오동(본오초교 부근),3,3,0,0,3,0,126.8688596,37.29409449
경기도 안산시 상록구2,경기도 안산시 상록구 사동(초당초교 부근),2,2,0,2,0,0,126.8510086,37.2847344
경기도 안산시 상록구3,경기도 안산시 상록구 본오동(이호초교 부근),2,2,0,1,1,0,126.8611793,37.28662855
경기도 안산시 상록구4,경기도 안산시 상록구 수암동(안산초교 부근),2,2,0,0,2,0,126.8774977,37.36392763
경기도 안산시 단원구1,경기도 안산시 단원구 선부동(석수초교 부근),2,2,0,2,0,0,126.8067853,37.34476311
경기도 안산시 단원구2,경기도 안산시 단원구 선부동(안산화정초교 부근),1,1,1,0,0,0,126.8173027,37.34573113
경기도 남양주시1,경기도 남양주시 화도읍(가곡초교 부근),2,2,0,1,1,0,127.306171,37.68361787
경기도 용인시 처인구1,경기도 용인시 처인구 김량장동(역북초교 부근),2,2,0,1,1,0,127.19181,37.23485875
경기도 화성시1,경기도 화성시 병점동(태안초교 부근),2,2,0,1,1,0,127.042759,37.21086852
경기도 화성시2,경기도 화성시 향남읍(한울초교 부근),1,1,1,0,0,0,126.9176783,37.12655474
경기도 광주시1,경기도 광주시 오포읍(광명초교 부근),3,3,0,1,2,0,127.1607811,37.35943552
충청북도 청주시 서원구1,충청북도 청주시 서원구 분평동(분평초교 부근),2,3,0,2,1,0,127.4932906,36.61138988
충청북도 청주시 서원구2,충청북도 청주시 서원구 개신동(개신초교 부근),2,3,0,1,2,0,127.4463184,36.62069048
충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 복대동(복대초교 부근),2,2,0,0,1,1,127.4479497,36.62935758
충청남도 천안시 서북구1,충청남도 천안시 서북구 성정동(천안서초교 부근),3,3,0,1,2,0,127.1396952,36.82332529
전라북도 군산시1,전라북도 군산시 지곡동(군산지곡초교 부근),2,2,0,0,2,0,126.7066085,35.95811798
전라북도 정읍시1,전라북도 정읍시 장명동(정읍동초교 부근),3,3,0,2,1,0,126.8616677,35.56646293
전라남도 진도군1,전라남도 진도군 진도읍(진도유치원 부근),2,3,0,0,3,0,126.2664354,34.48328346
경상북도 구미시1,경상북도 구미시 고아읍(원호초교 부근),2,2,0,1,1,0,128.3316949,36.15410319
경상남도 거제시1,경상남도 거제시 상동동(상동초교 부근),2,2,0,1,1,0,128.6340379,34.86139761
제주특별자치도 제주시1,제주특별자치도 제주시 이도이동(전원유치원 부근),2,2,0,2,0,0,126.5387213,33.4877101
제주특별자치도 제주시2,제주특별자치도 제주시 연동(한라초교 부근),2,2,0,1,1,0,126.4871302,33.47776378
제주특별자치도 제주시3,제주특별자치도 제주시 화북일동(삼화초교 부근),2,2,0,0,2,0,126.5762935,33.5144762
제주특별자치도 제주시4,제주특별자치도 제주시 노형동(월랑초교 부근),2,2,0,0,2,0,126.4782163,33.49151906
