시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
경상북도 안동시2,경상북도 안동시 안흥동(제일생명사거리 부근),3,3,0,1,2,0,128.722328,36.5634201
경상북도 구미시1,경상북도 구미시 옥계동(한식부페 부근),3,3,0,2,1,0,128.4224224,36.13817877
경상북도 경산시1,경상북도 경산시 옥곡동(옥곡초등학교 부근),8,8,0,6,2,0,128.7320235,35.81413151
경상북도 경산시2,경상북도 경산시 옥산동(성암세차장 부근),3,3,0,2,1,0,128.7196294,35.82231317
경상북도 칠곡군1,경상북도 칠곡군 석적읍(금산골 부근),4,4,0,1,2,1,128.4133983,36.07835717
경상북도 칠곡군2,경상북도 칠곡군 북삼읍(꼬마피카소 부근),3,3,0,2,0,1,128.337326,36.07112692
경상남도 창원시 마산합포구1,경상남도 창원시 마산합포구 월영동((월영주공아파트앞교차로) 부근),4,4,0,2,2,0,128.5588201,35.17491463
경상남도 창원시 마산회원구1,경상남도 창원시 마산회원구 석전동(- 인근),3,3,0,2,1,0,128.5735265,35.22923735
경상남도 창원시 진해구1,경상남도 창원시 진해구 용원동(- 인근),3,3,0,3,0,0,128.8189128,35.09863487
경상남도 통영시1,경상남도 통영시 광도면(한선파라빌리지 부근),5,5,1,0,4,0,128.4180651,34.87928718
경상남도 통영시2,경상남도 통영시 미수동(일성건축설비 부근),4,4,0,1,3,0,128.4019279,34.82541999
경상남도 김해시1,경상남도 김해시 외동(한국1차사거리 부근),5,5,0,1,4,0,128.8661978,35.23224744
경상남도 거제시1,경상남도 거제시 옥포동(현대샷시 부근),6,6,0,1,5,0,128.69311,34.8962811
경상남도 거제시2,경상남도 거제시 장평동(장평삼거리 부근),3,3,0,2,1,0,128.6089943,34.88753675
경상남도 거제시3,경상남도 거제시 고현동(고현사거리 부근),3,4,0,0,4,0,128.6237963,34.88679058
경상남도 함양군1,경상남도 함양군 함양읍(한주씽크도배 부근),4,4,0,1,3,0,127.730158,35.52154665
경상남도 거창군1,경상남도 거창군 거창읍(춘천닭갈비 부근),3,3,0,0,2,1,127.9054116,35.6885799
제주특별자치도 제주시1,제주특별자치도 제주시 노형동(노형하영이네 부근),5,5,0,1,4,0,126.4742419,33.48678539
제주특별자치도 제주시2,제주특별자치도 제주시 노형동(서중입구 부근),4,5,0,1,4,0,126.4791007,33.49263735
제주특별자치도 제주시3,제주특별자치도 제주시 삼도일동(에이스 아트빌 부근),4,4,0,1,3,0,126.5166051,33.50185429
제주특별자치도 제주시4,제주특별자치도 제주시 이도이동(단골정비공업사 부근),3,3,0,2,1,0,126.5389885,33.49272713
제주특별자치도 제주시5,제주특별자치도 제주시 일도이동(현미경헤어샵 부근),3,3,0,1,1,1,126.5483228,33.50146629
제주특별자치도 제주시6,제주특별자치도 제주시 도남동(오거리포장마차 부근),3,3,0,0,3,0,126.5271027,33.49575462
제주특별자치도 서귀포시1,제주특별자치도 서귀포시 서홍동(또래아동도서할인매장 부근),4,4,0,1,3,0,126.5596054,33.25933175
제주특별자치도 서귀포시2,미분류 미분류 미분류(초당6교 인근),3,3,0,2,1,0,126.4591013,34.8129138
서울특별시 광진구1,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),3,3,0,1,0,2,127.0674214,37.53050962
서울특별시 동대문구1,서울특별시 동대문구 장안동(장안동사거리 부근),3,3,0,2,1,0,127.0716857,37.57197407
서울특별시 동대문구2,서울특별시 동대문구 장안동(삼성레미안아파트 부근),3,3,0,2,0,1,127.0742284,37.57555366
서울특별시 중랑구1,서울특별시 중랑구 망우동(우림시장앞 부근),4,4,0,2,2,0,127.100058,37.59511604
서울특별시 도봉구1,서울특별시 도봉구 창동(창동대우아파트 부근),4,4,0,1,3,0,127.0379703,37.64288685
서울특별시 노원구1,서울특별시 노원구 중계동(은행사거리(서울) 부근),3,4,0,0,2,2,127.0771283,37.65114079
서울특별시 은평구1,서울특별시 은평구 갈현동 갈현초등학교 부근,8,8,0,2,5,1,126.9164546,37.61942811
